file,N_Models,Calls,CPU_Time,Time,Solving,First_Model,Unsat,Cars,Three_Cell_Car,Two_Cell_Car,Moves,Empty_Cells,Occupied_Cells,Choices,Conflicts,Restarts,Binary,Ternary,Heuristic 
"input_expert_63.asp",1,41,328.795,44.718,43.41,10.65,32.75,13,3,10,41,7,29,1.4006e+06,646169,1246,72.7,20.5,0
"input_expert_64.asp",1,28,141.996,19.624,18.83,0.77,18.05,11,2,9,28,12,24,923873,502886,982,72.6,20.3,0
"input_expert_65.asp",1,42,962.267,130.128,128.54,23.2,105.33,13,2,11,42,8,28,3.26846e+06,1.80825e+06,2503,69.9,24,0
"input_expert_66.asp",1,7,0.057,0.05,0,0,0,12,2,10,7,10,26,84,20,2503,73.9,18.9,0
"input_expert_67.asp",1,21,11.981,1.968,1.58,0.24,1.34,11,3,8,21,11,25,118327,55718,194,72.2,20.7,0
"input_expert_68.asp",1,10,0.222,0.118,0.02,0.01,0.01,12,1,11,10,11,25,1942,609,1,73.7,19.7,0
"input_expert_69.asp",1,43,557.854,76.446,74.99,19.96,55.01,11,3,8,43,11,25,2.51454e+06,1.2781e+06,1880,73,19.9,0
"input_expert_70.asp",1,44,1036.38,139.898,138.07,19.86,118.2,11,3,8,44,11,25,3.88638e+06,2.02194e+06,2850,73.3,19.6,0
"input_expert_71.asp",1,11,0.158,0.115,0.01,0,0.01,12,1,11,11,11,25,1185,219,2850,72.5,21.1,0
"input_expert_72.asp",1,4,0.028,0.025,0,0,0,11,1,10,4,13,23,95,28,2850,72.8,19.5,0
"input_expert_73.asp",1,5,0.045,0.037,0,0,0,12,1,11,5,11,25,169,52,2850,73.7,19,0
"input_expert_74.asp",1,13,0.832,0.233,0.1,0.03,0.07,12,0,12,13,12,24,16231,5645,28,73.1,20.2,0
"input_expert_75.asp",1,11,0.248,0.119,0.02,0.01,0.01,13,1,12,11,9,27,3742,1004,5,74.1,18.9,0
"input_expert_76.asp",1,50,3709.98,510.584,507.59,72,435.55,13,1,12,50,9,27,9.66020e+06,4.67225e+06,4884,72.1,21.4,0
"input_expert_77.asp",1,43,365.736,50.831,49.19,2.07,47.12,11,3,8,43,11,25,1.65643e+06,656311,1245,73.6,19.7,0
"input_expert_78.asp",1,7,0.101,0.066,0.01,0,0,13,0,13,7,10,26,791,163,1245,73.1,20.6,0
"input_expert_79.asp",1,10,0.155,0.103,0.01,0,0.01,10,3,7,10,13,23,1427,420,1245,72.4,20.6,0
"input_expert_80.asp",1,47,482.642,67.738,65.73,4.89,60.83,13,3,10,47,7,29,1.91708e+06,798767,1611,72.9,20.4,0
"input_expert_81.asp",1,8,0.101,0.072,0.01,0,0,12,1,11,8,11,25,562,150,1611,73.6,20,0
"input_expert_82.asp",1,19,2.04,0.488,0.25,0.02,0.22,12,0,12,19,12,24,32101,11512,51,72.6,21,0
"input_expert_83.asp",1,43,964.683,133.728,131.93,26.99,104.92,13,2,11,43,8,28,3.64797e+06,1.84913e+06,2809,71.2,22.1,0
